              precision    recall  f1-score   support

   nao viral       0.95      0.84      0.89        63
       viral       0.73      0.90      0.81        30

    accuracy                           0.86        93
   macro avg       0.84      0.87      0.85        93
weighted avg       0.88      0.86      0.86        93
